City 1,City 2,Heuristic
Vijayawada,Cochin,1053
Vishakapatnam,Cochin,1383
Agartala,Coimbatore,3449
Agra,Coimbatore,1970
Ahmedabad,Coimbatore,1669
Allahabad,Coimbatore,1487
Amritsar,Coimbatore,2399
Asansol,Coimbatore,1812
Bangalore,Coimbatore,333
Baroda,Coimbatore,1550
Bhopal,Coimbatore,1481
Bhubaneshwar,Coimbatore,1633
Bombay,Coimbatore,1189
Calcutta,Coimbatore,1586
Calicut,Coimbatore,417
Chandigarh,Coimbatore,2160
Cochin,Coimbatore,195
Delhi,Coimbatore,2047
Gwalior,Coimbatore,1960
Hubli,Coimbatore,724
Hyderabad,Coimbatore,896
Imphal,Coimbatore,3303
Indore,Coimbatore,1628
Jabalpur,Coimbatore,1629
Jaipur,Coimbatore,1784
Jamshedpur,Coimbatore,1854
Jullundur,Coimbatore,2314
Kanpur,Coimbatore,1680
Kolhapur,Coimbatore,817
Lucknow,Coimbatore,1721
Ludhiana,Coimbatore,2265
Madras,Coimbatore,426
Madurai,Coimbatore,521
Meerut,Coimbatore,2111
Nagpur,Coimbatore,1372
Nasik,Coimbatore,1214
Panjim,Coimbatore,773
Patna,Coimbatore,1889
Pondicherry,Coimbatore,410
Pune,Coimbatore,1005
Ranchi,Coimbatore,2000
Shillong,Coimbatore,2205
Shimla,Coimbatore,2259
Surat,Coimbatore,1417
Trivandrum,Coimbatore,413
Varanasi,Coimbatore,1995
Vijayawada,Coimbatore,858
Vishakapatnam,Coimbatore,1188
Agartala,Delhi,2681
Agra,Delhi,200
Ahmedabad,Delhi,911
Allahabad,Delhi,650
Amritsar,Delhi,445
Asansol,Delhi,1262
Bangalore,Delhi,1714
Baroda,Delhi,1030
Bhopal,Delhi,742
Bhubaneshwar,Delhi,1713
Bombay,Delhi,1257
Calcutta,Delhi,1440
Calicut,Delhi,2089
Chandigarh,Delhi,248
Cochin,Delhi,2097
Coimbatore,Delhi,2047
Gwalior,Delhi,315
Hubli,Delhi,1323
Hyderabad,Delhi,1446
Imphal,Delhi,2534
Indore,Delhi,668
Jabalpur,Delhi,800
Jaipur,Delhi,263
Jamshedpur,Delhi,1348
Jullundur,Delhi,375
Kanpur,Delhi,481
Kolhapur,Delhi,1538
Lucknow,Delhi,499
Ludhiana,Delhi,310
Madras,Delhi,1895
Madurai,Delhi,2060
Meerut,Delhi,66
Nagpur,Delhi,970
Nasik,Delhi,1082
Panjim,Delhi,1513
Patna,Delhi,1000
Pondicherry,Delhi,1727
Pune,Delhi,1291
Ranchi,Delhi,1204
Shillong,Delhi,2019
Shimla,Delhi,347
Surat,Delhi,1174
Trivandrum,Delhi,1950
Varanasi,Delhi,745
Vijayawada,Delhi,1712
Vishakapatnam,Delhi,1880
Agartala,Gwalior,2490
Agra,Gwalior,515
Ahmedabad,Gwalior,919
Allahabad,Gwalior,473
Amritsar,Gwalior,701
Asansol,Gwalior,1069
Bangalore,Gwalior,1695
Baroda,Gwalior,876
Bhopal,Gwalior,688
Bhubaneshwar,Gwalior,1486
Bombay,Gwalior,1085
Calcutta,Gwalior,1224
Calicut,Gwalior,2042
Chandigarh,Gwalior,462
Cochin,Gwalior,1881
Coimbatore,Gwalior,1960
Delhi,Gwalior,315
Hubli,Gwalior,1411
Hyderabad,Gwalior,1132
Imphal,Gwalior,2343
Indore,Gwalior,497
Jabalpur,Gwalior,823
Jaipur,Gwalior,351
Jamshedpur,Gwalior,1147
Jullundur,Gwalior,616
Kanpur,Gwalior,280
Kolhapur,Gwalior,1347
Lucknow,Gwalior,359
Ludhiana,Gwalior,567
Madras,Gwalior,1718
Madurai,Gwalior,1883
Meerut,Gwalior,381
Nagpur,Gwalior,656
Nasik,Gwalior,891
Panjim,Gwalior,1467
Patna,Gwalior,809
Pondicherry,Gwalior,1550
Pune,Gwalior,1100
Ranchi,Gwalior,1003
Shillong,Gwalior,1828
Shimla,Gwalior,561
Surat,Gwalior,1104
Trivandrum,Gwalior,2099
Varanasi,Gwalior,595
Vijayawada,Gwalior,1398
Vishakapatnam,Gwalior,1566
Agartala,Hubli,3027
Agra,Hubli,1290
Ahmedabad,Hubli,1101
Allahabad,Hubli,1570
Amritsar,Hubli,1766
Asansol,Hubli,1390
Bangalore,Hubli,391
Baroda,Hubli,982
Bhopal,Hubli,1251
Bhubaneshwar,Hubli,1530
Bombay,Hubli,614
Calcutta,Hubli,1164
Calicut,Hubli,766
Chandigarh,Hubli,1567
Cochin,Hubli,774
Coimbatore,Hubli,724
Delhi,Hubli,1323
Gwalior,Hubli,1411
Hyderabad,Hubli,486
Imphal,Hubli,2881
Indore,Hubli,1060
Jabalpur,Hubli,1219
Jaipur,Hubli,1060
Jamshedpur,Hubli,1432
Jullundur,Hubli,1698
Kanpur,Hubli,1577
Kolhapur,Hubli,444
Lucknow,Hubli,1656
Ludhiana,Hubli,1630
Madras,Hubli,683
Madurai,Hubli,823
Meerut,Hubli,1387
Nagpur,Hubli,962
Nasik,Hubli,646
Panjim,Hubli,190
Patna,Hubli,1785
Pondicherry,Hubli,653
Pune,Hubli,437
Ranchi,Hubli,1578
Shillong,Hubli,1795
Shimla,Hubli,1666
Surat,Hubli,849
Trivandrum,Hubli,982
Varanasi,Hubli,1675
Vijayawada,Hubli,755
Vishakapatnam,Hubli,1085
Agartala,Hyderabad,3150
Agra,Hyderabad,1246
Ahmedabad,Hyderabad,1209
Allahabad,Hyderabad,1084
Amritsar,Hyderabad,1833
Asansol,Hyderabad,1567
Bangalore,Hyderabad,563
Baroda,Hyderabad,1090
Bhopal,Hyderabad,808
Bhubaneshwar,Hyderabad,1044
Bombay,Hyderabad,729
Calcutta,Hyderabad,1467
Calicut,Hyderabad,910
Chandigarh,Hyderabad,1594
Cochin,Hyderabad,1075
Coimbatore,Hyderabad,896
Delhi,Hyderabad,1446
Gwalior,Hyderabad,1132
Hubli,Hyderabad,486
Imphal,Hyderabad,3003
Indore,Hyderabad,921
Jabalpur,Hyderabad,733
Jaipur,Hyderabad,1326
Jamshedpur,Hyderabad,1466
Jullundur,Hyderabad,1748
Kanpur,Hyderabad,1253
Kolhapur,Hyderabad,578
Lucknow,Hyderabad,1317
Ludhiana,Hyderabad,1699
Madras,Hyderabad,699
Madurai,Hyderabad,995
Meerut,Hyderabad,1470
